season,venueId,park_pf_runs,n_games,avg_runs_venue,avg_runs_other,season_avg_runs
2015,1,89.442,81,7.63,8.53,8.5
2015,2,113.457,78,9.603,8.464,8.5
2015,3,119.278,81,10.074,8.446,8.5
2015,4,90.935,81,7.753,8.526,8.5
2015,5,107.009,80,9.075,8.481,8.5
2015,7,100.073,81,8.506,8.5,8.5
2015,10,100.373,81,8.531,8.499,8.5
2015,12,90.31,84,7.702,8.529,8.5
2015,13,115.478,81,9.765,8.457,8.5
2015,14,108.057,81,9.16,8.477,8.5
2015,15,107.453,81,9.111,8.479,8.5
2015,16,93.476,81,7.963,8.519,8.5
2015,17,91.532,81,7.802,8.524,8.5
2015,19,137.035,81,11.506,8.397,8.5
2015,22,87.355,81,7.457,8.536,8.5
2015,31,90.338,81,7.704,8.528,8.5
2015,32,106.246,81,9.012,8.483,8.5
2015,680,93.625,81,7.975,8.518,8.5
2015,2392,93.925,81,8.0,8.517,8.5
2015,2394,103.533,81,8.79,8.49,8.5
2015,2395,87.653,81,7.481,8.535,8.5
2015,2602,107.0,81,9.074,8.48,8.5
2015,2680,96.621,81,8.222,8.51,8.5
2015,2681,106.397,81,9.025,8.482,8.5
2015,2889,81.556,81,6.975,8.553,8.5
2015,3289,87.206,81,7.444,8.537,8.5
2015,3309,97.07,81,8.259,8.509,8.5
2015,3312,101.125,81,8.593,8.497,8.5
2015,3313,107.604,81,9.123,8.479,8.5
2015,4169,91.084,81,7.765,8.526,8.5
2016,1,94.676,81,8.494,8.971,8.956
2016,2,98.091,81,8.79,8.961,8.956
2016,3,118.887,81,10.58,8.899,8.956
2016,4,92.688,81,8.321,8.977,8.956
2016,5,110.534,81,9.864,8.924,8.956
2016,7,103.227,81,9.235,8.946,8.956
2016,10,88.012,81,7.914,8.991,8.956
2016,12,89.569,81,8.049,8.987,8.956
2016,13,112.977,81,10.074,8.917,8.956
2016,14,105.515,81,9.432,8.939,8.956
2016,15,125.689,81,11.16,8.879,8.956
2016,16,102.247,80,9.15,8.949,8.956
2016,17,87.305,81,7.852,8.994,8.956
2016,19,137.486,81,12.16,8.845,8.956
2016,22,83.774,81,7.543,9.004,8.956
2016,31,102.941,81,9.21,8.947,8.956
2016,32,95.245,81,8.543,8.97,8.956
2016,680,98.518,81,8.827,8.96,8.956
2016,2392,87.446,81,7.864,8.993,8.956
2016,2394,103.115,80,9.225,8.946,8.956
2016,2395,93.114,81,8.358,8.976,8.956
2016,2602,107.951,81,9.642,8.932,8.956
2016,2680,101.085,81,9.049,8.952,8.956
2016,2681,88.153,81,7.926,8.991,8.956
2016,2889,98.518,81,8.827,8.96,8.956
2016,3289,87.871,81,7.901,8.992,8.956
2016,3309,92.404,81,8.296,8.978,8.956
2016,3312,113.984,81,10.16,8.914,8.956
2016,3313,96.809,81,8.679,8.965,8.956
2016,4169,83.857,80,7.55,9.003,8.956
2017,1,91.54,81,8.531,9.319,9.293
2017,2,106.786,81,9.901,9.272,9.293
2017,3,97.702,81,9.086,9.3,9.293
2017,4,101.549,81,9.432,9.288,9.293
2017,5,90.174,81,8.407,9.324,9.293
2017,7,95.234,81,8.864,9.308,9.293
2017,10,109.411,81,10.136,9.264,9.293
2017,12,89.764,81,8.37,9.325,9.293
2017,13,118.427,81,10.938,9.236,9.293
2017,14,95.234,81,8.864,9.308,9.293
2017,15,106.924,81,9.914,9.272,9.293
2017,17,107.2,81,9.938,9.271,9.293
2017,19,120.794,81,11.148,9.229,9.293
2017,22,87.991,81,8.21,9.33,9.293
2017,31,90.096,80,8.4,9.323,9.293
2017,32,98.99,84,9.202,9.296,9.293
2017,680,96.605,81,8.988,9.304,9.293
2017,2392,95.466,78,8.885,9.307,9.293
2017,2394,117.315,81,10.84,9.24,9.293
2017,2395,85.947,81,8.025,9.337,9.293
2017,2602,109.135,81,10.111,9.265,9.293
2017,2680,84.995,81,7.938,9.34,9.293
2017,2681,101.274,81,9.407,9.289,9.293
2017,2889,91.403,81,8.519,9.32,9.293
2017,3289,96.208,84,8.952,9.305,9.293
2017,3309,101.824,81,9.457,9.287,9.293
2017,3312,111.764,81,10.346,9.257,9.293
2017,3313,101.824,81,9.457,9.287,9.293
2017,4169,97.173,78,9.038,9.301,9.293
2017,4705,101.962,81,9.469,9.287,9.293
2018,1,98.464,81,8.765,8.902,8.898
2018,2,104.211,81,9.259,8.885,8.898
2018,3,109.98,81,9.753,8.868,8.898
2018,4,101.335,81,9.012,8.894,8.898
2018,5,108.102,81,9.593,8.874,8.898
2018,7,105.219,81,9.346,8.882,8.898
2018,10,94.026,81,8.383,8.915,8.898
2018,12,90.599,81,8.086,8.926,8.898
2018,13,127.565,81,11.247,8.817,8.898
2018,14,104.787,81,9.309,8.883,8.898
2018,15,95.17,81,8.481,8.912,8.898
2018,17,100.624,82,8.951,8.896,8.898
2018,19,118.529,81,10.481,8.843,8.898
2018,22,90.583,82,8.085,8.926,8.898
2018,31,90.182,80,8.05,8.926,8.898
2018,32,97.891,81,8.716,8.904,8.898
2018,680,87.891,81,7.852,8.934,8.898
2018,2392,91.455,81,8.16,8.923,8.898
2018,2394,96.029,81,8.556,8.909,8.898
2018,2395,90.599,81,8.086,8.926,8.898
2018,2602,111.859,81,9.914,8.863,8.898
2018,2680,98.659,78,8.782,8.901,8.898
2018,2681,99.302,80,8.838,8.9,8.898
2018,2889,96.602,81,8.605,8.908,8.898
2018,3289,80.506,81,7.21,8.956,8.898
2018,3309,107.381,81,9.531,8.876,8.898
2018,3312,106.645,79,9.468,8.878,8.898
2018,3313,112.149,81,9.938,8.862,8.898
2018,4169,83.058,81,7.432,8.948,8.898
2018,4705,103.923,81,9.235,8.886,8.898
2019,1,104.444,79,10.076,9.647,9.661
2019,2,114.405,81,11.0,9.615,9.661
2019,3,110.568,79,10.646,9.628,9.661
2019,4,97.207,80,9.4,9.67,9.661
2019,5,89.52,81,8.679,9.695,9.661
2019,7,103.363,80,9.975,9.65,9.661
2019,10,90.545,80,8.775,9.691,9.661
2019,12,85.587,81,8.309,9.708,9.661
2019,13,120.423,81,11.556,9.596,9.661
2019,14,100.852,81,9.741,9.658,9.661
2019,15,98.209,81,9.494,9.667,9.661
2019,17,94.122,81,9.111,9.68,9.661
2019,19,134.965,81,12.889,9.55,9.661
2019,22,90.702,81,8.79,9.691,9.661
2019,31,107.391,80,10.35,9.638,9.661
2019,32,96.757,81,9.358,9.672,9.661
2019,680,102.97,81,9.938,9.652,9.661
2019,2392,103.765,81,10.012,9.649,9.661
2019,2394,101.085,80,9.762,9.658,9.661
2019,2395,81.795,81,7.951,9.72,9.661
2019,2602,91.191,79,8.835,9.689,9.661
2019,2680,86.504,81,8.395,9.705,9.661
2019,2681,102.573,81,9.901,9.653,9.661
2019,2889,86.766,81,8.42,9.704,9.661
2019,3289,91.753,81,8.889,9.688,9.661
2019,3309,107.215,81,10.333,9.638,9.661
2019,3312,107.082,81,10.321,9.638,9.661
2019,3313,96.494,81,9.333,9.672,9.661
2019,4169,94.517,81,9.148,9.679,9.661
2019,4705,102.308,81,9.877,9.654,9.661
2020,1,123.547,31,11.387,9.217,9.292
2020,2,97.069,34,9.029,9.302,9.292
2020,3,127.939,31,11.774,9.203,9.292
2020,4,101.949,30,9.467,9.286,9.292
2020,5,85.686,30,8.0,9.336,9.292
2020,7,95.274,30,8.867,9.306,9.292
2020,10,80.833,32,7.562,9.356,9.292
2020,15,107.16,30,9.933,9.27,9.292
2020,17,76.296,33,7.152,9.373,9.292
2020,19,132.735,30,12.2,9.191,9.292
2020,22,97.496,30,9.067,9.3,9.292
2020,31,95.009,32,8.844,9.308,9.292
2020,2395,110.663,33,10.242,9.255,9.292
2020,2680,93.967,32,8.75,9.312,9.292
2020,2681,111.086,32,10.281,9.255,9.292
2020,3309,96.052,32,8.938,9.305,9.292
2020,3312,82.471,31,7.71,9.348,9.292
2020,3313,107.916,31,10.0,9.266,9.292
2020,4705,118.766,30,10.967,9.234,9.292
2020,5325,96.015,30,8.933,9.304,9.292
2021,1,106.417,82,9.622,9.042,9.061
2021,2,119.154,81,10.728,9.004,9.061
2021,3,119.582,81,10.765,9.003,9.061
2021,4,96.736,80,8.775,9.071,9.061
2021,5,96.167,80,8.725,9.073,9.061
2021,7,108.343,81,9.79,9.036,9.061
2021,10,91.011,81,8.272,9.089,9.061
2021,12,89.611,81,8.148,9.093,9.061
2021,14,98.069,36,8.889,9.064,9.061
2021,15,110.897,81,10.012,9.029,9.061
2021,17,108.91,81,9.84,9.034,9.061
2021,19,118.297,81,10.654,9.006,9.061
2021,22,92.272,81,8.383,9.085,9.061
2021,31,98.877,81,8.963,9.065,9.061
2021,32,94.658,81,8.593,9.078,9.061
2021,680,90.871,81,8.259,9.089,9.061
2021,2392,102.826,81,9.309,9.053,9.061
2021,2394,92.272,81,8.383,9.085,9.061
2021,2395,93.816,81,8.519,9.08,9.061
2021,2602,118.012,81,10.63,9.007,9.061
2021,2680,93.186,82,8.463,9.082,9.061
2021,2681,98.736,81,8.951,9.065,9.061
2021,2889,84.162,81,7.667,9.109,9.061
2021,3289,79.427,81,7.247,9.124,9.061
2021,3309,101.838,81,9.222,9.056,9.061
2021,3312,105.653,81,9.556,9.044,9.061
2021,3313,92.553,81,8.407,9.084,9.061
2021,4169,86.534,81,7.877,9.102,9.061
2021,4705,104.215,79,9.43,9.049,9.061
2021,5325,96.344,81,8.741,9.072,9.061
2022,1,96.292,81,8.259,8.577,8.567
2022,2,97.688,80,8.375,8.573,8.567
2022,3,116.354,81,9.914,8.52,8.567
2022,4,107.937,81,9.222,8.544,8.567
2022,5,93.024,81,7.988,8.587,8.567
2022,7,105.99,81,9.062,8.55,8.567
2022,10,94.227,80,8.088,8.583,8.567
2022,12,88.283,81,7.593,8.6,8.567
2022,14,103.0,81,8.815,8.558,8.567
2022,15,102.85,81,8.802,8.559,8.567
2022,17,95.995,81,8.235,8.578,8.567
2022,19,135.922,81,11.506,8.465,8.567
2022,22,100.91,81,8.642,8.564,8.567
2022,31,104.793,81,8.963,8.553,8.567
2022,32,98.525,81,8.444,8.571,8.567
2022,680,88.579,81,7.617,8.599,8.567
2022,2392,89.171,81,7.667,8.598,8.567
2022,2394,91.118,82,7.829,8.592,8.567
2022,2395,100.164,81,8.58,8.566,8.567
2022,2602,114.503,80,9.762,8.526,8.567
2022,2680,86.362,81,7.432,8.606,8.567
2022,2681,105.691,81,9.037,8.55,8.567
2022,2889,97.185,81,8.333,8.575,8.567
2022,3289,92.283,81,7.926,8.589,8.567
2022,3309,104.943,81,8.975,8.553,8.567
2022,3312,94.806,81,8.136,8.582,8.567
2022,3313,98.525,81,8.444,8.571,8.567
2022,4169,92.431,81,7.938,8.588,8.567
2022,4705,97.483,81,8.358,8.574,8.567
2022,5325,106.589,81,9.111,8.548,8.567
2023,1,103.916,81,9.58,9.219,9.231
2023,2,92.584,81,8.568,9.254,9.231
2023,3,110.31,81,10.148,9.2,9.231
2023,4,98.101,81,9.062,9.237,9.231
2023,5,85.306,81,7.914,9.277,9.231
2023,7,110.171,81,10.136,9.2,9.231
2023,10,95.064,81,8.79,9.246,9.231
2023,12,100.314,81,9.259,9.23,9.231
2023,14,89.559,81,8.296,9.264,9.231
2023,15,97.549,81,9.012,9.239,9.231
2023,17,105.998,81,9.765,9.213,9.231
2023,19,129.516,81,11.84,9.141,9.231
2023,22,99.207,81,9.16,9.234,9.231
2023,31,100.314,81,9.259,9.23,9.231
2023,32,93.411,81,8.642,9.252,9.231
2023,680,89.284,81,8.272,9.264,9.231
2023,2392,99.76,81,9.21,9.232,9.231
2023,2394,98.378,81,9.086,9.236,9.231
2023,2395,84.484,81,7.84,9.279,9.231
2023,2602,107.249,81,9.877,9.209,9.231
2023,2680,86.275,79,8.0,9.273,9.231
2023,2681,100.729,81,9.296,9.229,9.231
2023,2889,108.061,79,9.949,9.207,9.231
2023,3289,92.171,81,8.531,9.255,9.231
2023,3309,106.665,80,9.825,9.211,9.231
2023,3312,96.72,81,8.938,9.241,9.231
2023,3313,90.796,81,8.407,9.26,9.231
2023,4169,95.34,81,8.815,9.246,9.231
2023,4705,114.495,81,10.519,9.187,9.231
2023,5325,116.452,81,10.691,9.181,9.231
2024,1,102.076,81,8.963,8.781,8.787
2024,2,101.931,81,8.951,8.781,8.787
2024,3,107.471,81,9.42,8.765,8.787
2024,4,89.322,81,7.877,8.818,8.787
2024,5,98.539,80,8.662,8.791,8.787
2024,7,102.95,81,9.037,8.778,8.787
2024,10,98.297,81,8.642,8.792,8.787
2024,12,88.312,81,7.79,8.821,8.787
2024,14,102.513,81,9.0,8.779,8.787
2024,15,123.035,81,10.728,8.72,8.787
2024,17,83.129,81,7.346,8.836,8.787
2024,19,122.174,79,10.658,8.724,8.787
2024,22,101.186,80,8.887,8.783,8.787
2024,31,102.804,81,9.025,8.779,8.787
2024,32,96.845,81,8.519,8.796,8.787
2024,680,78.251,81,6.926,8.851,8.787
2024,2392,100.621,81,8.84,8.785,8.787
2024,2394,92.671,80,8.162,8.808,8.787
2024,2395,94.092,81,8.284,8.804,8.787
2024,2602,104.698,81,9.185,8.773,8.787
2024,2680,99.568,80,8.75,8.788,8.787
2024,2681,102.659,80,9.012,8.779,8.787
2024,2889,95.455,80,8.4,8.8,8.787
2024,3289,100.597,80,8.838,8.785,8.787
2024,3309,98.877,81,8.691,8.79,8.787
2024,3312,107.617,81,9.432,8.764,8.787
2024,3313,104.99,81,9.21,8.772,8.787
2024,4169,117.584,81,10.272,8.736,8.787
2024,4705,88.312,81,7.79,8.821,8.787
2024,5325,91.199,81,8.037,8.813,8.787
2025,1,106.552,81,9.457,8.875,8.895
2025,2,104.679,81,9.296,8.881,8.895
2025,3,101.082,81,8.988,8.891,8.895
2025,4,95.346,81,8.494,8.908,8.895
2025,5,89.346,81,7.975,8.926,8.895
2025,7,84.08,81,7.519,8.942,8.895
2025,14,106.841,81,9.481,8.874,8.895
2025,15,110.306,81,9.778,8.864,8.895
2025,17,99.753,79,8.873,8.895,8.895
2025,19,133.177,81,11.716,8.797,8.895
2025,22,111.463,81,9.877,8.861,8.895
2025,31,84.506,81,7.556,8.941,8.895
2025,32,95.202,81,8.481,8.909,8.895
2025,680,90.915,81,8.111,8.922,8.895
2025,2392,92.2,81,8.222,8.918,8.895
2025,2394,104.535,81,9.284,8.881,8.895
2025,2395,94.773,81,8.444,8.91,8.895
2025,2523,98.498,81,8.765,8.899,8.895
2025,2529,113.346,81,10.037,8.855,8.895
2025,2602,97.594,80,8.688,8.902,8.895
2025,2680,88.348,81,7.889,8.929,8.895
2025,2681,106.264,81,9.432,8.876,8.895
2025,2889,95.346,81,8.494,8.908,8.895
2025,3289,102.826,80,9.137,8.886,8.895
2025,3309,110.162,81,9.765,8.865,8.895
2025,3312,106.841,81,9.481,8.874,8.895
2025,3313,101.801,81,9.049,8.889,8.895
2025,4169,96.205,81,8.568,8.906,8.895
2025,4705,100.364,81,8.926,8.894,8.895
2025,5325,79.541,81,7.123,8.956,8.895
